id,2.42866E+18
shortcode,CG0UU3ylXnv
height,1080
width,1080
gating_info,None
fact_check_overall_rating,None
fact_check_information,None
sensitivity_friction_info,None
media_overlay_info,None
media_preview,None
display_url,https://instagram.fbom15-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/122597843_348399692928940_6969617465177525934_n.jpg?tp=1&_nc_ht=instagram.fbom15-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=Mc8mOdKFGsQAX9WhVRW&edm=AABBvjUBAAAA&ccb=7-4&oh=50104d03c8032a3e9d319ec851378f2a&oe=60C3A625&_nc_sid=83d603
accessibility_caption,"Photo by Google on October 26, 2020. May be a cartoon."
is_video,FALSE
tracking_token,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiODgyZmZlNzQzNTU5NGRlZjlkOGUxNTIwYjI2OGYyZTQyNDI4NjU1NDk0MjgzNzUzOTY3Iiwic2VydmVyX3Rva2VuIjoiMTYyMTA5NDM1MzIwOXwyNDI4NjU1NDk0MjgzNzUzOTY3fDE1MTU4MTU0MDN8ZjdjZmM3MTI1MWYwYTkwYmQ3ZTdlYzRiYTA4OGRkMWQwMjBhMjQ1YTA3YmM4ZjEzZjY1ZTg5NWNhM2ViY2M0OSJ9LCJzaWduYXR1cmUiOiIifQ==
tagged_users,[]
caption,"Which WFH style best describes you? Comment below with your room number (1-9). ⬇️ No matter what space you work in, check out free resources to stay productive at the link in our bio. #growwithgoogle"
caption_is_edited,FALSE
has_ranked_comments,FALSE
comments,1304
comments_disabled,FALSE
commenting_disabled_for_viewer,FALSE
timestamp,1603738317
likes,-1
location,nan
viewer_has_liked,FALSE
viewer_has_saved,FALSE
viewer_has_saved_to_collection,FALSE
viewer_in_photo_of_you,FALSE
viewer_can_reshare,TRUE
video_url,nan
has_audio,nan
video_view_count,nan
username,google
full_name,Google
profile_pic_url,nan
profile_pic_url_hd,nan
upload_date,10/27/2020 0:21
hashtags,['growwithgoogle']
